iter	Passed	Remaining
0	15	15822
1	44	22370
2	78	25964
3	115	28855
4	139	27693
5	181	30011
6	236	33530
7	269	33361
8	287	31656
9	310	30696
10	332	29935
11	349	28775
12	383	29099
13	415	29261
14	472	31030
15	486	29930
16	528	30557
17	567	30964
18	608	31443
19	641	31445
20	674	31454
21	702	31207
22	734	31202
23	768	31269
24	791	30862
25	815	30554
26	847	30536
27	873	30330
28	910	30472
29	929	30056
30	971	30356
31	1006	30435
32	1033	30283
33	1067	30336
34	1102	30388
35	1132	30326
36	1155	30074
37	1190	30132
38	1227	30246
39	1255	30140
40	1287	30115
41	1321	30146
42	1357	30212
43	1389	30180
44	1430	30357
45	1471	30516
46	1504	30505
47	1555	30854
48	1588	30831
49	1620	30791
50	1656	30832
51	1691	30834
52	1726	30845
53	1758	30813
54	1787	30719
55	1823	30735
56	1859	30770
57	1891	30728
58	1920	30624
59	1954	30627
60	1972	30359
61	2004	30331
62	2036	30293
63	2054	30051
64	2085	29994
65	2113	29915
66	2148	29917
67	2182	29915
68	2220	29958
69	2253	29935
70	2269	29701
71	2282	29423
72	2314	29392
73	2349	29396
74	2386	29438
75	2402	29213
76	2437	29218
77	2469	29194
78	2502	29176
79	2534	29143
80	2568	29143
81	2600	29108
82	2633	29092
83	2660	29009
84	2694	29002
85	2718	28891
86	2735	28709
87	2769	28706
88	2787	28536
89	2820	28515
90	2854	28514
91	2887	28499
92	2906	28346
93	2944	28378
94	2983	28419
95	3022	28461
96	3056	28453
97	3089	28438
98	3121	28408
99	3149	28343
100	3184	28341
101	3223	28378
102	3235	28178
103	3272	28197
104	3305	28175
105	3337	28149
106	3370	28127
107	3404	28118
108	3441	28129
109	3485	28197
110	3517	28167
111	3552	28164
112	3573	28053
113	3598	27964
114	3628	27925
115	3661	27899
116	3694	27884
117	3726	27857
118	3760	27838
119	3811	27951
120	3847	27950
121	3890	27999
122	3942	28107
123	3964	28009
124	4008	28056
125	4044	28055
126	4078	28037
127	4114	28033
128	4127	27871
129	4165	27874
130	4204	27891
131	4238	27871
132	4253	27725
133	4288	27717
134	4329	27738
135	4368	27749
136	4408	27770
137	4527	28283
138	4582	28387
139	4607	28300
140	4644	28297
141	4682	28290
142	4717	28270
143	4755	28271
144	4774	28151
145	4809	28134
146	4846	28122
147	4865	28010
148	4899	27980
149	4937	27978
150	4973	27962
151	5014	27975
152	5049	27955
153	5086	27945
154	5122	27923
155	5161	27923
156	5195	27899
157	5237	27913
158	5277	27914
159	5317	27917
160	5354	27905
161	5390	27885
162	5432	27897
163	5466	27867
164	5507	27873
165	5548	27876
166	5563	27750
167	5597	27719
168	5633	27701
169	5678	27723
170	5722	27740
171	5765	27753
172	5796	27710
173	5837	27712
174	5857	27615
175	5893	27592
176	5908	27473
177	5941	27437
178	5961	27341
179	5999	27333
180	6040	27334
181	6084	27345
182	6127	27357
183	6169	27360
184	6204	27334
185	6243	27322
186	6289	27346
187	6332	27352
188	6341	27210
189	6377	27189
190	6411	27154
191	6455	27167
192	6495	27159
193	6518	27082
194	6553	27053
195	6590	27036
196	6630	27026
197	6668	27012
198	6706	26994
199	6740	26963
200	6779	26950
201	6820	26943
202	6859	26931
203	6900	26925
204	6939	26911
205	6973	26876
206	7011	26860
207	7049	26842
208	7088	26827
209	7109	26744
210	7129	26659
211	7170	26651
212	7208	26634
213	7247	26620
214	7283	26593
215	7328	26598
216	7370	26595
217	7406	26567
218	7445	26553
219	7480	26522
220	7516	26494
221	7552	26469
222	7590	26448
223	7626	26419
224	7665	26403
225	7699	26368
226	7738	26352
227	7759	26272
228	7795	26247
229	7832	26220
230	7866	26187
231	7880	26087
232	7916	26058
233	7953	26034
234	7994	26023
235	8025	25979
236	8051	25922
237	8092	25909
238	8127	25879
239	8147	25801
240	8184	25776
241	8224	25762
242	8264	25745
243	8304	25729
244	8341	25704
245	8375	25670
246	8410	25638
247	8442	25600
248	8476	25566
249	8508	25524
250	8540	25485
251	8575	25453
252	8607	25413
253	8642	25383
254	8674	25343
255	8708	25309
256	8740	25268
257	8773	25231
258	8789	25147
259	8817	25096
260	8855	25073
261	8891	25044
262	8923	25006
263	8971	25011
264	8988	24929
265	9014	24874
266	9051	24848
267	9085	24815
268	9120	24783
269	9155	24754
270	9188	24718
271	9229	24702
272	9238	24602
273	9267	24555
274	9307	24537
275	9349	24524
276	9365	24444
277	9403	24421
278	9421	24346
279	9458	24321
280	9493	24292
281	9514	24223
282	9539	24168
283	9552	24081
284	9570	24009
285	9606	23982
286	9645	23961
287	9683	23940
288	9719	23911
289	9756	23887
290	9774	23815
291	9809	23783
292	9845	23757
293	9882	23730
294	9915	23696
295	9949	23662
296	9970	23599
297	10002	23563
298	10039	23538
299	10077	23515
300	10096	23447
301	10133	23420
302	10146	23341
303	10182	23312
304	10195	23232
305	10225	23192
306	10258	23157
307	10277	23091
308	10299	23031
309	10345	23026
310	10380	22996
311	10414	22965
312	10441	22918
313	10480	22896
314	10516	22869
315	10535	22804
316	10555	22743
317	10569	22668
318	10602	22634
319	10629	22587
320	10662	22554
321	10694	22518
322	10737	22505
323	10768	22467
324	10802	22435
325	10837	22406
326	10872	22376
327	10907	22347
328	10921	22273
329	10955	22242
330	10988	22208
331	11018	22170
332	11050	22133
333	11078	22090
334	11109	22053
335	11144	22024
336	11158	21953
337	11190	21916
338	11227	21891
339	11240	21819
340	11278	21795
341	11311	21764
342	11319	21682
343	11338	21621
344	11373	21593
345	11398	21545
346	11427	21504
347	11461	21474
348	11500	21451
349	11535	21422
350	11571	21395
351	11599	21353
352	11611	21282
353	11649	21258
354	11687	21234
355	11721	21203
356	11756	21174
357	11791	21146
358	11804	21077
359	11839	21047
360	11869	21010
361	11902	20977
362	11925	20926
363	11938	20859
364	11971	20827
365	12003	20793
366	12038	20763
367	12055	20704
368	12089	20672
369	12123	20643
370	12164	20624
371	12180	20562
372	12208	20521
373	12245	20496
374	12280	20468
375	12314	20436
376	12351	20410
377	12388	20386
378	12422	20354
379	12447	20309
380	12481	20277
381	12512	20242
382	12549	20217
383	12587	20192
384	12623	20165
385	12664	20144
386	12700	20116
387	12735	20087
388	12771	20060
389	12809	20036
390	12841	20001
391	12929	20053
392	12948	19999
393	13000	19995
394	13033	19962
395	13064	19927
396	13098	19895
397	13134	19866
398	13168	19835
399	13200	19801
400	13239	19777
401	13271	19741
402	13304	19709
403	13335	19673
404	13365	19635
405	13398	19602
406	13432	19571
407	13468	19542
408	13496	19502
409	13530	19471
410	13565	19440
411	13599	19409
412	13632	19376
413	13666	19344
414	13686	19292
415	13708	19245
416	13740	19209
417	13770	19172
418	13806	19144
419	13837	19109
420	13863	19066
421	13896	19033
422	13929	19001
423	13946	18946
424	13977	18910
425	14011	18879
426	14048	18852
427	14081	18819
428	14094	18759
429	14136	18738
430	14149	18679
431	14182	18647
432	14215	18614
433	14236	18566
434	14269	18533
435	14301	18499
436	14337	18471
437	14367	18434
438	14403	18406
439	14422	18355
440	14436	18299
441	14461	18256
442	14504	18236
443	14517	18179
444	14529	18121
445	14562	18089
446	14593	18054
447	14612	18005
448	14644	17971
449	14675	17936
450	14706	17902
451	14737	17868
